From	Entry
P07986	P07986
Q5NGA7	Q5NGA7
E1VBK1	E1VBK1
P0AES6	P0AES6
P0A886	P0A886
O05205	O05205
Q541D8	Q541D8
O76074	O76074
Q2N0S5	Q2N0S5
Q970S6	Q970S6
P0AA25	P0AA25
Q9GPQ4	Q9GPQ4
P00441	P00441
P14618	P14618
Q52012	Q52012
A5K8L9	A5K8L9
Q45462	Q45462
I6L8L2	I6L8L2
P14324	P14324
P54760	P54760
O43614	O43614
K4KA16	K4KA16
O44049	O44049
Q8CG03	Q8CG03
Q7VXB1	Q7VXB1
P9WNG3	P9WNG3
Q2F7J3	Q2F7J3
Q15075	Q15075
C3W5S3	C3W5S3
Q19905	Q19905
Q8A0N1	Q8A0N1
P03211	P03211
P62330	P62330
Q9W1M7	Q9W1M7
Q72J47	Q72J47
Q9HBH9	Q9HBH9
A6XNE6	A6XNE6
P43405	P43405
Q9FD73	Q9FD73
Q8SR45	Q8SR45
Q59643	Q59643
P30291	P30291
P26093	P26093
Q13451	Q13451
Q8XNB2	Q8XNB2
P56524	P56524
Q88PQ6	Q88PQ6
P55263	P55263
P12493	P12493
Q9I0A4	Q9I0A4
P0ACB2	P0ACB2
Q96554	Q96554
P00484	P00484
Q81EJ6	Q81EJ6
Q01043	Q01043
E9AE57	E9AE57
Q9UM07	Q9UM07
Q8A1G2	Q8A1G2
P49841	P49841
A0A024B7W1	A0A024B7W1
P13166	P13166
A8DS38	A8DS38
P63316	P63316
Q9IAT9	Q9IAT9
P08069	P08069
P15057	P15057
P04177	P04177
Q8VZS8	Q8VZS8
A3N294	A3N294
Q9ELS8	Q9ELS8
Q93HW0	Q93HW0
Q9STC1	Q9STC1
P02638	P02638
P37487	P37487
P13009	P13009
E7F650	E7F650
P00889	P00889
P02829	P02829
P49902	P49902
Q84G06	Q84G06
P05981	P05981
P9WQH5	P9WQH5
P16869	P16869
P08191	P08191
P00775	P00775
Q6MPX4	Q6MPX4
B6H6L7	B6H6L7
Q95460	Q95460
Q9HAZ1	Q9HAZ1
G5EBR3	G5EBR3
Q12852	Q12852
Q8BGV8	Q8BGV8
Q16790	Q16790
P0A786	P0A786
P0AFG8	P0AFG8
P05050	P05050
Q72498	Q72498
P00572	P00572
A0A0H3K9U6	A0A0H3K9U6
P11797	P11797
Q92WC8	Q92WC8
Q93UV0	Q93UV0
P02745	P02745
P14174	P14174
Q944H0	Q944H0
B2HHT4	B2HHT4
Q8TCD5	Q8TCD5
Q8PIS1	Q8PIS1
P0AGJ7	P0AGJ7
B0Y2Y2	B0Y2Y2
Q9Q288	Q9Q288
O15540	O15540
Q9NPD8	Q9NPD8
Q05769	Q05769
Q9R1E6	Q9R1E6
Q9UKE5	Q9UKE5
Q07010	Q07010
Q5RKJ4	Q5RKJ4
P60484	P60484
O34817	O34817
P08254	P08254
Q92905	Q92905
P81245	P81245
Q386Q8	Q386Q8
Q5A4W8	Q5A4W8
Q9NYV4	Q9NYV4
Q9Y5P4	Q9Y5P4
P30418	P30418
P0A910	P0A910
A0A0M3KKW7	A0A0M3KKW7
Q6WY08	Q6WY08
Q6Q3H7	Q6Q3H7
C5AP93	C5AP93
P0A0Z8	P0A0Z8
Q72547	Q72547
C3TPN7	C3TPN7
P9WN31	P9WN31
P02753	P02753
Q0P8Q4	Q0P8Q4
Q9JYL2	Q9JYL2
P06737	P06737
O33244	P9WHU1
Q89U61	Q89U61
Q03111	Q03111
P29994	P29994
P05418	P05418
Q7CX36	Q7CX36
P09955	P09955
P00766	P00766
Q5VWZ2	Q5VWZ2
Q8IZX4	Q8IZX4
A0F6C5	A0F6C5
Q07599	Q07599
Q93YN9	Q93YN9
P0A7D4	P0A7D4
Q9H7B4	Q9H7B4
Q46085	Q46085
P07901	P07901
P49888	P49888
P9WG67	P9WG67
P27708	P27708
P0A8M3	P0A8M3
Q2MFS1	Q2MFS1
P16278	P16278
Q7SSI0	Q7SSI0
Q43088	Q43088
Q9H8M2	Q9H8M2
P51532	P51532
A7X1N2	A7X1N2
A1L4K2	A1L4K2
Q8KLK7	Q8KLK7
I7B368	I7B368
P9WHU1	P9WHU1
P36946	P36946
Q97VT7	Q97VT7
Q8NB16	Q8NB16
Q9L387	Q9L387
Q000H7	Q000H7
P04035	P04035
Q05816	Q05816
Q13882	Q13882
O49235	O49235
Q27890	Q27890
P26663	P26663
B0SWV2	B0SWV2
B2HMK0	B2HMK0
Q13394	Q13394
P19999	P19999
Q969Q7	Q9NWT6
Q63J95	Q63J95
C5YH12	C5YH12
Q9CQV8	Q9CQV8
C6KP13	C6KP13
P09874	P09874
P05019	P05019
Q837E0	Q837E0
